Timestamp,NodeID,Event,Details
10.409792,4,Received Packet,"Size: 3"
10.500000,6,Sent Packet,"Packet: 6, Message: Temp: 20.4 C, Hum: 63%, Send Result: 22, Length: 22"
10.504512,10,Received Packet,"Size: 22"
10.504512,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
10.508832,6,Received Packet,"Size: 3"
10.700000,8,Sent Packet,"Packet: 7, Message: Temp: 21.3 C, Hum: 58%, Send Result: 22, Length: 22"
10.704512,10,Received Packet,"Size: 22"
10.704512,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
10.708192,8,Received Packet,"Size: 3"
11.300000,2,Sent Packet,"Packet: 6, Message: Temp: 24.0 C, Hum: 54%, Send Result: 22, Length: 22"
11.300000,6,Sent Packet,"Packet: 7, Message: Temp: 22.8 C, Hum: 68%, Send Result: 22, Length: 22"
11.302912,10,Received Packet,"Size: 22"
11.302912,10,Gateway Response,"To: 2001:db8::ff:fe00:2"
11.307552,2,Received Packet,"Size: 3"
11.315008,10,Received Packet,"Size: 22"
11.315008,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
11.318048,6,Received Packet,"Size: 3"
11.400000,9,Sent Packet,"Packet: 7, Message: Temp: 21.7 C, Hum: 67%, Send Result: 22, Length: 22"
11.404832,10,Received Packet,"Size: 22"
11.404832,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
11.409792,9,Received Packet,"Size: 3"
11.600000,7,Sent Packet,"Packet: 6, Message: Temp: 22.4 C, Hum: 53%, Send Result: 22, Length: 22"
11.602912,10,Received Packet,"Size: 22"
11.602912,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
11.605952,7,Received Packet,"Size: 3"
11.800000,3,Sent Packet,"Packet: 6, Message: Temp: 28.3 C, Hum: 70%, Send Result: 22, Length: 22"
11.800000,8,Sent Packet,"Packet: 8, Message: Temp: 27.2 C, Hum: 55%, Send Result: 22, Length: 22"
11.803232,10,Received Packet,"Size: 22"
11.803232,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
11.807520,10,Received Packet,"Size: 22"
11.807520,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
11.812480,3,Received Packet,"Size: 3"
11.816288,8,Received Packet,"Size: 3"
11.900000,0,Sent Packet,"Packet: 7, Message: Temp: 29.0 C, Hum: 55%, Send Result: 22, Length: 22"
12.100000,1,Sent Packet,"Packet: 6, Message: Temp: 25.4 C, Hum: 66%, Send Result: 22, Length: 22"
12.104192,10,Received Packet,"Size: 22"
12.104192,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
12.109472,1,Received Packet,"Size: 3"
12.300000,5,Sent Packet,"Packet: 8, Message: Temp: 28.2 C, Hum: 62%, Send Result: 22, Length: 22"
12.305152,10,Received Packet,"Size: 22"
12.305152,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
12.308512,5,Received Packet,"Size: 3"
12.500000,4,Sent Packet,"Packet: 8, Message: Temp: 29.7 C, Hum: 77%, Send Result: 22, Length: 22"
12.503232,10,Received Packet,"Size: 22"
12.503232,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
12.507552,4,Received Packet,"Size: 3"
